Domain,Level,ID,Short Name,Requirement,References
SYSTEM AND INFORMATION INTEGRITY (SI),1,SI.L1-b.1.xiii,Malicious Code Protection [FCI Data],Provide protection from malicious code at appropriate locations within organizational information systems.,FAR Clause 52.204-21 b.1.xiii; NIST SP 800-171 Rev 2 3.14.2
SYSTEM AND INFORMATION INTEGRITY (SI),1,SI.L1-b.1.xiv,Update Malicious Code Protection [FCI Data],Update malicious code protection mechanisms when new releases are available.,FAR Clause 52.204-21 b.1.xiv; NIST SP 800-171 Rev 2 3.14.4
SYSTEM AND INFORMATION INTEGRITY (SI),1,SI.L1-b.1.xv,System & File Scanning [FCI Data],"Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded, opened, or executed.",FAR Clause 52.204-21 b.1.xv; NIST SP 800-171 Rev 2 3.14.5
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.1,Flaw Remediation [CUI Data],"Identify, report, and correct system flaws in a timely manner.",NIST SP 800-171 Rev 2 3.14.1; FAR Clause 52.204-21 b.1.xii
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.2,Malicious Code Protection [CUI Data],Provide protection from malicious code at designated locations within organizational systems.,NIST SP 800-171 Rev 2 3.14.2; FAR Clause 52.204-21 b.1.xiii
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.3,Security Alerts & Advisories,Monitor system security alerts and advisories and take action in response.,NIST SP 800-171 Rev 2 3.14.3
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.4,Update Malicious Code Protection [CUI Data],Update malicious code protection mechanisms when new releases are available.,NIST SP 800-171 Rev 2 3.14.4; FAR Clause 52.204-21 b.1.xiv
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.5,System & File Scanning [CUI Data],"Perform periodic scans of organizational systems and real-time scans of files from external sources as files are downloaded, opened, or executed.",NIST SP 800-171 Rev 2 3.14.5; FAR Clause 52.204-21 b.1.xv
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.6,Monitor Communications for Attacks,"Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.",NIST SP 800-171 Rev 2 3.14.6
SYSTEM AND INFORMATION INTEGRITY (SI),2,SI.L2-3.14.7,Identify Unauthorized Use,Identify unauthorized use of organizational systems.,NIST SP 800-171 Rev 2 3.14.7
SYSTEM AND INFORMATION INTEGRITY (SI),3,SI.L3-3.14.1e,Integrity Verification,Verify the integrity of security critical and essential software using root of trust mechanisms or cryptographic signatures.,NIST SP 800-172 3.14.1e
SYSTEM AND INFORMATION INTEGRITY (SI),3,SI.L3-3.14.3e,Specialized Asset Security,"Include specialized assets such as IoT, IIoT, OT, GFE, Restricted Information Systems and test equipment in the scope of the specified enhanced security requirements or are segregated in purpose-specific networks.",NIST SP 800-172 3.14.3e
SYSTEM AND INFORMATION INTEGRITY (SI),3,SI.L3-3.14.6e,Threat-Guided Intrusion Detection,"Use threat indicator information and effective mitigations obtained from, at a minimum, open or commercial sources, and any DoD-provided sources, to guide and inform intrusion detection and threat hunting.",NIST SP 800-172 3.14.6e
